MaTrieuChung,TenTrieuChung,LaTrieuChungChinh,TrieuChungCha,CauHoi,TuKhoaChinh,TuKhoaPhu
TC001,Sốt,TRUE,,Bạn có bị sốt không? (Có/Không),"sốt,nóng người","thân nhiệt cao"
TC002,Đau đầu,TRUE,,Bạn có bị đau đầu không? (Có/Không),"đau đầu,nhức đầu"
TC002_1,Vị trí đau đầu,FALSE,TC002,Cơn đau đầu của bạn thường ở vị trí nào ,"vị trí đau,đau ở đâu"
TC002_2,Kiểu đau đầu,FALSE,TC002,Kiểu đau đầu của bạn là gì ,"kiểu đau,đau như thế nào"
TC002_3,Đau đầu kèm theo,FALSE,TC002,Khi đau đầu bạn có kèm theo buồn nôn, nhạy cảm ánh sáng/tiếng ồn không?,"buồn nôn,nhạy cảm ánh sáng,nhạy cảm tiếng ồn"
TC003,Ho,TRUE,,Bạn có bị ho không? (Có/Không),"ho,khó chịu ở họng"
TC003_1,Kiểu ho,FALSE,TC003,Bạn ho khan hay ho có đờm?,"ho khan,ho có đờm"
TC003_2,Ho ra máu,FALSE,TC003,Bạn có ho ra máu không?,"ho ra máu"
TC004,Mệt mỏi,TRUE,,Bạn có cảm thấy mệt mỏi không? (Có/Không),"mệt mỏi,uể oải,kiệt sức"
TC005,Hắt hơi,TRUE,,Bạn có bị hắt hơi hoặc sổ mũi không? (Có/Không),"hắt hơi,sổ mũi,chảy nước mũi"
TC006,Mất vị giác/khứu giác,TRUE,,Bạn có bị mất vị giác hoặc khứu giác không? (Có/Không),"mất vị giá,mất khứu giác,không nếm,không ngửi"
TC007,Ngứa mắt,TRUE,,Bạn có bị ngứa mắt không? (Có/Không),"ngứa mắt,mắt khó chịu"
TC008,Nghẹt mũi,TRUE,,Bạn có bị nghẹt mũi không? (Có/Không),"nghẹt mũi,khó thở bằng mũi"
TC009,Đau họng,TRUE,,Bạn có bị đau họng không? (Có/Không),"đau họng,rát họng"
TC009_1,Nuốt đau/khó,FALSE,TC009,Bạn có cảm thấy đau hoặc khó khăn khi nuốt không?,"nuốt đau,nuốt khó"
TC009_2,Họng sưng đỏ/có đốm trắng,FALSE,TC009,Khi nhìn vào họng, bạn có thấy sưng đỏ amidan sưng to hoặc có đốm trắng/mủ không?,"họng đỏ;họng sưng;đốm trắng họng;mủ họng"
TC010,Chóng mặt,TRUE,,Bạn có cảm thấy chóng mặt không? (Có/Không),"chóng mặt,hoa mắt"
TC011,Buồn nôn/Nôn,TRUE,,Bạn có cảm thấy buồn nôn hoặc đã nôn không? (Có/Không),"buồn nôn,nôn mửa,ói"
TC012,Tiêu chảy,TRUE,,Bạn có bị tiêu chảy không? (Có/Không),"tiêu chảy,đi ngoài"
TC013,Đau cơ/khớp,TRUE,,Bạn có bị đau mỏi cơ hoặc khớp không? (Có/Không),"đau cơ,đau khớp,nhức mỏi"
TC014,Chán ăn,TRUE,,Bạn có cảm thấy chán ăn không? (Có/Không),"chán ăn,không muốn ăn"
TC015,Mất ngủ,TRUE,,Bạn có bị mất ngủ hoặc khó ngủ không? (Có/Không),"mất ngủ,khó ngủ"
TC016,Ớn lạnh,TRUE,,Bạn có cảm thấy ớn lạnh hoặc rùng mình không? (Có/Không),"ớn lạnh,rùng mình"
TC017,Ợ nóng/Ợ chua,TRUE,,Bạn có bị ợ nóng, ợ chua hoặc cảm giác nóng rát sau xương ức không? (Có/Không),"ợ nóng;ợ chua;nóng rát ngực"
TC017_1,Thời điểm ợ nóng,FALSE,TC017,Bạn thường bị ợ nóng/ợ chua vào lúc nào ,"sau ăn;khi nằm"
TC017_2,Ợ hơi/Đầy bụng,FALSE,TC017,Bạn có bị ợ hơi  đầy bụng  khó tiêu không?,"ợ hơi;đầy bụng;khó tiêu"
TC018,Khó thở/Tức ngực,TRUE,,Bạn có cảm thấy khó thở hoặc tức ngực không? (Có/Không),"khó thở,tức ngực,nặng ngực"
TC018_1,Mức độ khó thở,FALSE,TC018,Mức độ khó thở của bạn như thế nào ,"khó thở nhẹ,khó thở nặng,khó thở khi gắng sức"
TC018_2,Khò khè,FALSE,TC018,Bạn có nghe thấy tiếng khò khè khi thở không?,"khò khè,thở rít"
TC019,Đau bụng,TRUE,,Bạn có bị đau bụng không? (Có/Không),"đau bụng,đau quặn bụng"
TC019_1,Vị trí đau bụng,FALSE,TC019,Cơn đau bụng của bạn ở vị trí nào ,"đau bụng trên,đau bụng dưới"
TC019_2,Kiểu đau bụng,FALSE,TC019,Kiểu đau bụng của bạn là gì ,"đau âm ỉ;đau quặn"
TC020,Lo lắng/Bồn chồn,TRUE,,Bạn có cảm thấy lo lắng quá mức bồn chồn đứng ngồi không yên không? (Có/Không),"lo lắng;bồn chồn;bất an"
TC020_1,Tần suất lo lắng,FALSE,TC020,Bạn có thường xuyên cảm thấy lo lắng quá mức về nhiều điều không (hầu hết các ngày trong ít nhất 6 tháng)?,"lo lắng thường xuyên,lo nhiều"
TC020_2,Khó kiểm soát lo lắng,FALSE,TC020,Bạn có thấy khó kiểm soát những lo lắng đó không?,"khó kiểm soát lo lắng"
TC020_3,Triệu chứng kèm theo lo lắng,FALSE,TC020,Khi lo lắng bạn có kèm theo tim đập nhanh  run rẩy  căng cơ  khó tập trung không?,"tim đập nhanh,run,căng cơ,khó tập trung"
TC021,Phát ban/Nổi mẩn,TRUE,,Bạn có bị phát ban nổi mẩn đỏ ngứa trên da không? (Có/Không),"phát ban,nổi mẩn,mề đay,ngứa da"
TC021_1,Đặc điểm phát ban,FALSE,TC021,Nốt ban của bạn trông như thế nào Vị trí nào trên cơ thể?,"mụn nước,sẩn đỏ"
TC022,Sụt cân không rõ nguyên nhân,TRUE,,Bạn có bị sụt cân đáng kể mà không rõ lý do (không chủ ý ăn kiêng/tập luyện) không? (Có/Không),"sụt cân,gầy đi"
TC023,Đau tai,TRUE,,Bạn có bị đau tai không? (Có/Không),"đau tai,nhức tai","tai đau"
TC023_1,Chảy dịch tai,FALSE,TC023,Tai bạn có chảy dịch/mủ không?, "chảy mủ tai,chảy dịch tai"
TC023_2,Giảm thính lực,FALSE,TC023,Bạn có cảm thấy nghe kém hơn ở tai bị đau không?, "nghe kém,giảm thính lực"
TC023_3,Ù tai,FALSE,TC023,Bạn có bị ù tai không?,"ù tai,tai có tiếng kêu"
TC024,Đau rát da theo một dải,TRUE,,Bạn có bị đau rát da như phải bỏng thường ở một bên cơ thể theo một dải không? (Có/Không),"đau rát da,đau dây thần kinh,bỏng rát da","đau như kim châm"
TC024_1,Mụn nước trên nền da đỏ,FALSE,TC024,Sau cơn đau rát bạn có thấy xuất hiện mụn nước thành chùm trên nền da đỏ theo dải đó không?,"mụn nước zona,ban đỏ zona,phỏng rộp"
TC025,Khó thở về đêm/sáng sớm,TRUE,,Bạn có thường bị khó thở ho khò khè nặng hơn về đêm hoặc sáng sớm không? (Có/Không),"khó thở đêm,ho đêm,khò khè sáng","nặng ngực đêm"
TC026,Khát nước nhiều,TRUE,,Bạn có cảm thấy khát nước nhiều hơn bình thường và uống nhiều nước không? (Có/Không),"khát nước,uống nhiều nước","khô miệng"
TC027,Đi tiểu thường xuyên,TRUE,,Bạn có đi tiểu thường xuyên hơn bình thường kể cả ban đêm không? (Có/Không),"tiểu nhiều,đi tiểu đêm","tiểu dắt"
TC028,Nhìn mờ,TRUE,,Thị lực của bạn có bị suy giảm nhìn mọi vật mờ đi không? (Có/Không),"nhìn mờ,mắt mờ","thị lực giảm"
TC029,Vết thương lâu lành,TRUE,,Bạn có thấy các vết thương vết xước trên da lâu lành hơn bình thường hoặc dễ nhiễm trùng không? (Có/Không),"vết thương lâu lành,nhiễm trùng da","chậm liền sẹo"
TC030,Da xanh xao niêm mạc nhợt nhạt,TRUE,,Bạn có thấy da mình xanh xao niêm mạc (môi mí mắt trong) nhợt nhạt hơn không? (Có/Không),"da xanh,niêm mạc nhợt,xanh xao"
TC031,Tim đập nhanh hồi hộp,TRUE,,Bạn có cảm thấy tim đập nhanh hồi hộp đánh trống ngực không? (Có/Không),"tim đập nhanh,hồi hộp,đánh trống ngực"
TC032,Da khô ngứa có vảy,TRUE,,Da bạn có bị khô ngứa nổi mẩn đỏ có thể có vảy hoặc dày lên không? (Có/Không),"da khô,ngứa da,nổi mẩn da,chàm"
TC032_1,Vị trí tổn thương da,FALSE,TC032,Tổn thương da thường xuất hiện ở vị trí nào (ví dụ: mặt cổ khuỷu tay đầu gối cổ tay)?,"vị trí ngứa,vị trí mẩn",
TC032_2,Mụn nước nhỏ,FALSE,TC032,Trên vùng da tổn thương có xuất hiện các mụn nước nhỏ li ti không?,"mụn nước nhỏ,da rỉ dịch"
TC033,Môi khô mắt trũng,TRUE,,Bạn có thấy môi khô mắt trũng khóc không có nước mắt (ở trẻ em) không? (Có/Không),"môi khô,mắt trũng,khô miệng","ít nước mắt"
TC034,Giảm lượng nước tiểu,TRUE,,Lượng nước tiểu của bạn có ít hơn bình thường hoặc nước tiểu sẫm màu không? (Có/Không),"tiểu ít,nước tiểu sẫm màu","vô niệu"